id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
592649463303387070,"Bright, private 1BR bungalow in heart of Petworth!",44101160,Kari,,"Brightwood Park, Crestwood, Petworth",38.94283,-77.02459,Entire home/apt,119,2,42,2023-01-16,3.77,1,260,42,Hosted License: 5007242201000865
593289170829801500,Affordable Vacation home at Nations Capital,161274657,Tsehay,,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill",38.94624,-77.00596,Entire home/apt,100,3,6,2023-03-12,0.54,1,347,6,Exempt
593437627703201418,Cozy Vibes House DC!,451826601,Shiloh,,"Capitol View, Marshall Heights, Benning Heights",38.88188,-76.94313,Entire home/apt,115,2,19,2023-02-19,1.66,1,86,19,Hosted License: 5007242201001167
594089072077435630,Beautiful 2BR Apartment in Washington + Pets Ok,48005494,Zeus,,"Capitol Hill, Lincoln Park",38.8867,-76.99675,Entire home/apt,153,31,1,2022-07-31,0.13,138,296,1,
594197665107057582,NEW!! Cabin in the Clouds ~ Easy Downtown Access w Parking!,46630199,Home Sweet City,,"Brightwood Park, Crestwood, Petworth",38.94912,-77.03147,Entire home/apt,132,2,26,2023-02-27,2.41,94,143,26,Hosted License: 5007242201000753
583162021920060320,Guest Room with 1 King Bed – Brand New Hotel In Capitol Hill / Navy Yard Area,448723910,Capitol,,"Near Southeast, Navy Yard",38.87932,-77.00473,Entire home/apt,189,1,17,2023-03-18,1.97,2,56,17,Exempt
583162519343821153,Guest Room with 2 Queen Beds – Brand New Hotel In Capitol Hill / Navy Yard Area,448723910,Capitol,,"Near Southeast, Navy Yard",38.87955,-77.00459,Entire home/apt,199,1,6,2022-08-09,0.65,2,57,6,Exempt
583190117662121527,Renovated Studio Apartment Near Capitol,250952462,Dustin,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90493,-76.99457,Entire home/apt,102,1,74,2023-03-16,6.87,1,197,74,Hosted License: 5007242201001358
583241845857414965,Renovated Boutique Studio/Free Parking,24689130,Angie,,"Union Station, Stanton Park, Kingman Park",38.9037,-77.00015,Entire home/apt,110,1,60,2023-03-08,5.50,1,86,60,Hosted License: 5007242201001241
583484163489281170,"**Comfortable King Br w/Bath 15min-DOWNTN, METRO**",446615875,Gamaliel,,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",38.89632,-76.91491,Private room,60,2,31,2023-02-03,2.58,9,209,31,Exempt
583490965372657944,**Cozy White Cherry Blossom Suite King Bed METRO**,446615875,Gamaliel,,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",38.89498,-76.91354,Private room,60,2,32,2023-02-17,2.68,9,230,32,Exempt
583910386238333847,"Cosy private room - king bed, own bathroom & cable",73975548,Antoinette,,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights",38.90277,-76.92405,Private room,36,31,0,,,1,363,0,
584195177049369912,Cardozo Guesthouse - Basement Studio Apartment,161649426,Kathleen,,"Howard University, Le Droit Park, Cardozo/Shaw",38.91692,-77.02951,Entire home/apt,60,7,20,2023-03-12,1.71,4,19,20,Exempt
